sec_code,edinet_code
80220,E03036
82520,E03040
82530,E03041
82540,E03044
81740,E03051
81730,E03052
80050,E03054
82670,E03061
82730,E03068
81300,E03071
81900,E03072
81350,E03076
81850,E03077
82760,E03081
81940,E03083
81980,E03087
81630,E03090
81650,E03092
81660,E03093
81670,E03094
82000,E03099
82020,E03101
82030,E03103
82070,E03108
82090,E03110
82140,E03116
82780,E03118
82170,E03119
82180,E03120
81600,E03121
82190,E03124
82820,E03128
82810,E03129
82890,E03132
82550,E03133
82300,E03134
82270,E03137
98320,E03138
98310,E03139
98350,E03141
98430,E03144
98500,E03145
98460,E03146
98530,E03147
98540,E03148
98610,E03153
98780,E03160
98760,E03163
98870,E03164
98900,E03166
98120,E03169
98230,E03173
98280,E03176
99000,E03178
99030,E03179
79370,E03180
99040,E03181
99270,E03186
99460,E03188
99360,E03193
99420,E03196
99480,E03199
99500,E03202
99560,E03207
99590,E03208
99690,E03213
99740,E03216
99830,E03217
99760,E03219
99780,E03221
99790,E03223
99900,E03225
99890,E03226
99940,E03227
99930,E03228
99970,E03229
74120,E03231
74160,E03233
74190,E03235
74210,E03236
74450,E03240
74500,E03245
74530,E03248
74640,E03251
74620,E03252
74940,E03259
75050,E03264
75060,E03266
75080,E03267
75120,E03268
75090,E03269
75130,E03270
75140,E03271
75150,E03272
75160,E03273
75200,E03274
75220,E03275
75230,E03276
75240,E03278
75320,E03280
78720,E03281
22940,E03283
75440,E03286
75450,E03287
45580,E03289
75500,E03291
75540,E03293
75610,E03294
75620,E03295
75640,E03296
75710,E03299
75780,E03304
75810,E03305
75850,E03306
75960,E03310
76010,E03312
76030,E03313
76040,E03314
76060,E03316
76140,E03317
76110,E03318
76100,E03319
76150,E03320
76160,E03321
76210,E03324
76250,E03327
76300,E03329
76340,E03330
76360,E03331
76370,E03332
76380,E03333
76400,E03336
76430,E03340
94410,E03342
76460,E03343
76490,E03344
68360,E03346
26520,E03347
26530,E03349
26590,E03352
26660,E03355
26640,E03356
26690,E03358
26730,E03360
26740,E03361
26780,E03363
26830,E03365
27020,E03366
26810,E03367
26850,E03368
26860,E03370
26870,E03372
26940,E03374
26950,E03375
26980,E03377
43370,E03379
27050,E03380
27220,E03386
27260,E03387
27350,E03391
27360,E03392
23050,E03393
27420,E03395
27470,E03397
27530,E03398
27300,E03399
27520,E03400
27620,E03404
27630,E03405
27640,E03406
27670,E03407
27340,E03408
27690,E03409
27780,E03415
27800,E03416
27820,E03418
27900,E03421
27890,E03422
27910,E03423
27920,E03424
27980,E03428
33170,E03432
33260,E03434
33290,E03436
33330,E03439
33530,E03443
33490,E03446
33520,E03447
33600,E03450
33580,E03451
33610,E03454
33700,E03456
33720,E03457
33750,E03460
33820,E03462
33910,E03464
30210,E03465
33960,E03467
33970,E03468
33990,E03470
30460,E03471
30200,E03472
30300,E03473
30320,E03474
30280,E03475
30340,E03476
30530,E03478
30480,E03481
30470,E03482
30670,E03485
30580,E03487
30500,E03489
30650,E03490
262A0,E03492
78230,E03493
30590,E03494
30630,E03495
30680,E03496
30640,E03497
30830,E03498
30660,E03500
30770,E03505
30710,E03506
30750,E03507
30690,E03508
30800,E03509
30820,E03512
31970,E03515
30860,E03516
30910,E03517
30870,E03518
30880,E03519
30930,E03520
30990,E03521
30960,E03524
30970,E03528
83030,E03530
83040,E03531
83450,E03543
83490,E03544
83410,E03545
83430,E03546
83440,E03549
83460,E03550
83380,E03552
83340,E03554
83360,E03555
83310,E03556
83370,E03557
83600,E03562
83590,E03563
83650,E03565
83620,E03567
83610,E03568
83580,E03571
83640,E03572
83680,E03574
83660,E03575
83670,E03580
83700,E03581
83830,E03582
83810,E03583
83880,E03587
83860,E03588
83870,E03590
83980,E03592
83920,E03596
83930,E03597
83950,E03599
83990,E03602
83060,E03606
83080,E03610
83090,E03611
83160,E03614
84110,E03615
83770,E03618
58380,E03621
84180,E03622
84100,E03623
83540,E03624
85240,E03632
85510,E03634
85620,E03637
85500,E03639
85580,E03640
85440,E03641
85370,E03645
71840,E03646
85220,E03652
85410,E03663
84160,E03664
85600,E03669
85540,E03670
85590,E03673
85630,E03674
85420,E03678
71500,E03679
85110,E03688
85720,E03693
85180,E03695
87470,E03716
87460,E03717
85150,E03721
87420,E03723
85080,E03724
84210,E03729
87370,E03733
87050,E03739
87830,E03740
21340,E03745
87720,E03746
86040,E03752
86010,E03753
86090,E03756
86130,E03760
86220,E03762
87080,E03763
86160,E03764
86140,E03768
86990,E03770
86240,E03772
87060,E03784
87070,E03788
87000,E03792
86170,E03793
37720,E03801
86280,E03807
86970,E03814
86980,E03815
87040,E03819
87660,E03847
87950,E03851
87250,E03854
88010,E03855
88020,E03856
88030,E03858
88040,E03859
97060,E03863
88180,E03867
88300,E03907
88440,E03938
88480,E03943
88500,E03945
88600,E03953
88640,E03958
88690,E03967
46810,E03969
88710,E03971
88770,E03977
88810,E03984
88870,E03989
88910,E03991
88920,E03992
88940,E03993
88970,E03997
89120,E04008
89140,E04011
89170,E04013
89180,E04015
89200,E04018
89230,E04021
89270,E04024
89280,E04025
89310,E04029
89340,E04031
89350,E04032
89380,E04034
89440,E04038
89460,E04039
89990,E04044
89960,E04048
89950,E04049
32310,E04060
32360,E04064
32380,E04065
32410,E04068
32420,E04069
32450,E04072
32460,E04075
32480,E04077
32600,E04086
90070,E04088
